,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5
0,RU,2010-01-04,RU1005,20779.04275881163,20572.05493706295,20909.99423787712,20555.15797202224,0,488932,20664.98824478685,20770.59427629127,20576.27917832313,138342,21193.018402309,19955.31571307708,24595,5,-0.0044971381847917,,,,,,,,,,,,,0.01457905544147853,0.02874743326488724,0.02073921971252544,0.041273100616016155,0.06940451745379866
1,,2010-01-05,RU1005,20736.80034620986,20871.97606653553,21019.82451064173,20669.21248604702,0,647784,20572.05493706295,20893.09727283641,20770.59427629127,142610,21391.55774153732,20145.40656978505,24545,5,0.01457905544147853,,,,,,,,,,,,,0.01396478445658782,0.006071645415907399,0.02631046346893305,0.05403764420157844,0.04675166970248914
2,,2010-01-06,RU1005,20850.85486023464,21163.44871348776,21243.70929743112,20812.83668889305,0,534648,20871.97606653553,21057.84268198333,20893.09727283641,149612,21518.28497934264,20263.68532507001,24680,5,0.01396478445658782,,,,,,,,,,,,,-0.007784431137724941,0.012175648702594367,0.039520958083832054,0.03233532934131705,0.010179640718562592
3,,2010-01-07,RU1005,21514.06073808246,20998.70330434084,21746.39400739221,20614.29734966472,0,861896,21163.44871348776,21205.69112608953,21057.84268198333,153272,21746.39400739221,20614.29734966472,25465,5,-0.007784431137724941,,,,,,,,,,,,,0.020116676725004987,0.04767652383826205,0.0404345202172602,0.01810500905250464,0.03319251659625834
4,,2010-01-08,RU1005,21146.55174844705,21421.12743035856,21442.24863665945,20698.78217486827,0,1479472,20998.70330434084,21133.87902466652,21205.69112608953,192540,21839.32731511611,20567.83069580277,25030,5,0.020116676725004987,0.012533762439854252,,,,,,,,,,,,0.027016367580359076,0.019917176099388808,-0.0019719976336026825,0.012817984618418541,-0.01202918556497689
5,,2010-01-11,RU1005,21763.29097243292,21999.84848300284,22109.67875576745,21526.73346186299,0,953166,21421.12743035856,21721.04855983115,21133.87902466652,193384,22109.67875576745,21526.73346186299,25760,5,0.027016367580359076,0.013046543542853346,,,,,,,,,,,,-0.006912442396313408,-0.028225806451612916,-0.013824884792626816,-0.03801843317972325,-0.04992319508448539
6,,2010-01-12,RU1005,21949.15758788071,21847.77579763646,22050.53937812497,21678.80614722937,0,1097928,21999.84848300284,21873.12124519753,21721.04855983115,198120,22371.58171389843,21066.29116450368,25980,5,-0.006912442396313408,0.015869384860653517,,,,,,,,,,,,-0.021461716937354956,-0.006960556844547608,-0.03132250580046374,-0.04331013147718478,-0.019334880123743188
7,,2010-01-13,RU1005,21205.69112608953,21378.88501775679,21780.18793747363,21045.16995820279,0,1219774,21847.77579763646,21497.16377304175,21873.12124519753,206094,22527.87864052499,21045.16995820279,25100,5,-0.021461716937354956,0.020490617329793435,,,,,,,,,,,,0.014819205690574908,-0.010077059869590713,-0.02232760324046628,0.0021734835012843447,-0.001383125864453674
8,,2010-01-14,RU1005,21873.12124519753,21695.70311227008,21932.26062284,21590.09708076565,0,794178,21378.88501775679,21775.96369621345,21497.16377304175,195920,22139.24844458869,20850.85486023464,25890,5,0.014819205690574908,0.020230318684290226,,,,,,,,,,,,-0.024532710280373484,-0.03660436137071641,-0.012461059190031064,-0.015965732087227347,0.0019470404984427154
9,,2010-01-15,RU1005,21543.6304269037,21163.44871348776,21619.66676958689,20969.1336155196,0,1053678,21695.70311227008,21366.21229397626,21775.96369621345,203798,22426.49685028074,20969.1336155196,25500,5,-0.024532710280373484,0.022556702338082935,,,,,,,,,,,,-0.012375249500998251,0.012375249500997734,0.008782435129740227,0.027145708582834324,-0.022954091816367404
10,,2010-01-18,RU1005,20943.78816795854,20901.54575535677,21053.61844072315,20762.14579377092,0,674758,21163.44871348776,20931.11544417801,21366.21229397626,174026,22004.07272426302,20724.12762242933,24790,5,-0.012375249500998251,0.015602047611906218,,,,,,,,,,,,0.025060630557801115,0.021422797089733187,0.04001616814874722,-0.010711398544866507,-0.006063055780113215
